id;rating;content;date
1;5;../fake-data/blob/hipster.txt;2024-03-01T01:43:51
2;3;../fake-data/blob/hipster.txt;2024-03-01T00:11:33
3;2;../fake-data/blob/hipster.txt;2024-02-29T20:38:36
4;5;../fake-data/blob/hipster.txt;2024-03-01T04:13:21
5;3;../fake-data/blob/hipster.txt;2024-03-01T09:24:01
6;3;../fake-data/blob/hipster.txt;2024-03-01T09:54:40
7;4;../fake-data/blob/hipster.txt;2024-03-01T08:34:29
8;4;../fake-data/blob/hipster.txt;2024-02-29T18:29:02
9;4;../fake-data/blob/hipster.txt;2024-03-01T00:31:45
10;1;../fake-data/blob/hipster.txt;2024-03-01T02:11:37
